,id,name,brewery,style,abv,ibu,rating
0,c4f2KE,Manifest Destiny ‘Murican Pilsner,Sierra Nevada Brewing Co.,Pilsner - Other,4.5% ABV,N/A IBU,(3.4)
1,c4f2KE,M'rica Pilsner,Lookout Brewing Co.,Pilsner - Other,5.4% ABV,N/A IBU,(3.34)
2,c4f2KE,'Murican Pilsner (August 2013),Bad Dog Homebrewing,Homebrew  |  Pilsner - Other,5.6% ABV,N/A IBU,(0)
3,c4f2KE,'Murican Pilsner,Doster Brewing Co,Homebrew  |  Pilsner - Other,4.7% ABV,34 IBU,(0)
4,c4f2KE,'Murica Pilsner,Grace and Roses,Homebrew  |  Pilsner - German,5.1% ABV,35 IBU,(0)
5,zTTWa2,11.5° Plato,Sierra Nevada Brewing Co.,IPA - Session / India Session Ale,4.5% ABV,N/A IBU,(3.63)
6,zfP2fK,12th of Never Ale,Lagunitas Brewing Company,Pale Ale - American,5.5% ABV,45 IBU,(3.74)
7,zfP2fK,12th of Never Ale (2018),Lagunitas Brewing Company,Pale Ale - American,5.5% ABV,45 IBU,(3.634)
8,zfP2fK,Barrel-Aged 12th of Never With Peaches & Brett,Lagunitas Brewing Company,Sour - Ale,5.88% ABV,N/A IBU,(3.569)
9,zfP2fK,12th of Never,R & B Home Brew,Homebrew  |  Scotch Ale / Wee Heavy,N/A ABV,N/A IBU,(0)
10,zfP2fK,12th Forge of Mt. Never,Lost Mountain Brewery,Homebrew  |  Pale Ale - New England,3% ABV,40 IBU,(0)
11,xwYSL2,XV Reserve 15th Anniversary Ale,Brewery Ommegang,Belgian Strong Dark Ale,9.6% ABV,N/A IBU,(4.142)
12,xwYSL2,Legend,Tommyknocker Brewery,Brown Ale - Imperial / Double,10% ABV,40 IBU,(3.769)
13,xwYSL2,Double Standard Double IPA,Third Street Aleworks (California),IPA - Imperial / Double,9.1% ABV,100 IBU,(3.848)
14,xwYSL2,Newport Storm - Annual Release '15,Newport Craft Brewing Co.,Smoked Beer,11% ABV,N/A IBU,(3.771)
15,xwYSL2,Yazoo 15th Anniversary Ale,Yazoo Brewing Company,Pale Ale - American,N/A ABV,N/A IBU,(3.683)
16,UJGpVS,16 So Fine Red Wheat Wine,SweetWater Brewing Company,Wheat Wine,11% ABV,70 IBU,(3.772)
17,LcpeBb,17th Anniversary Aged In Tequila Barrels,SweetWater Brewing Company,Saison / Farmhouse Ale,9% ABV,N/A IBU,(3.864)
18,LcpeBb,Excelsior! Anniversary 17,Ithaca Beer Company,IPA - Imperial / Double,8.8% ABV,N/A IBU,(3.56)
